Code_Maille	Numero_Passage	Nom_PE	Date	Observateur	Heure_Debut	Heure_Fin	Couvert_Nuageux	Temperature	Temperature_Precision	Vent	Longitude_Point_Ecoute	Latitude_Point_Ecoute	SCR_Geometrie_Protocole	Nom_Taxon_Cite	Statut_Presence	Code_Ref	Denombrement_min	Denombrement_max	Objet_Denombrement
E4255N64340	1	Pe1	2018-04-04	Frédéric REVERS (université de bordeaux umr biogeco/inra)	07:54:00	08:14:00	75-100%	10	Approximative (+5°C)	0 - Calme	425858	6434364	2154	Erithacus rubecula | Rougegorge familier	présent	4001	1	1	individus
E4215N64390	1	Pe2	2018-04-04	Frédéric REVERS (université de bordeaux umr biogeco/inra)	09:20:00	09:40:00	0-25%	10	Approximative (+5°C)	2 - Légère brise	421848	6439315	2154	Cygnus olor | Cygne tuberculé	présent	2706	1		individus
E4250N64350	2	Pe1	2018-05-04	Frédéric REVERS (université de bordeaux umr biogeco/inra)	07:24:00	07:44:00	0-25%	5	Approximative (+5°C)	1 - Très légère brise	425152	6435416	2154	Cisticola juncidis | Cisticole des joncs	présent	4155	2		individus
E4115N64320	2	Pe1	2018-05-22	Frédéric REVERS (université de bordeaux umr biogeco/inra)	09:17:00	09:37:00	0-25%	15	Approximative (+5°C)	1 - Très légère brise	411571	6432092	2154	Certhia brachydactyla | Grimpereau des jardins	présent	3791	1		individus
E4120N64290	2	Pe2	2018-05-22	Frédéric REVERS (université de bordeaux umr biogeco/inra)	07:37:00	07:57:00	0-25%	10	Approximative (+5°C)	0 - Calme	412234	6429414	2154	Cyanistes caeruleus | Mésange bleue	présent	534742	1		individus
E4135N64325	1	Pe2	2019-04-11	Frédéric REVERS (université de bordeaux umr biogeco/inra)	09:19:00	09:39:00	75-100%	5	Approximative (+5°C)	3 - Petite brise	413604,6	6432837,69	2154	Turdus merula	présent	4117	1		individus
E4250N64350	2	Pe1	2019-05-22	Frédéric REVERS (université de bordeaux umr biogeco/inra)	08:54:00	09:14:00	0-25%	10	Approximative (+5°C)	1 - Très légère brise	425161,81	6435444,66	2154	Carduelis cannabina	présent	889047	1		individus
E4090N64185	1	Pe2	2019-04-02	Frédéric REVERS (université de bordeaux umr biogeco/inra)	08:08:00	08:28:00	100,00 %	10	Approximative (+5°C)	1 - Très légère brise	409237,41	6418874,38	2154	Garrulus glandarius	présent	4466	2		individus
E4065N64165	2	Pe1	2019-05-06	Frédéric REVERS (université de bordeaux umr biogeco/inra)	07:59:00	08:19:00	0-25%	0	Approximative (+5°C)	1 - Très légère brise	406906,99	6416932,26	2154	Passer domesticus	présent	4525	5		individus
E4185N64160	2	Pe1	2019-05-14	Frédéric REVERS (université de bordeaux umr biogeco/inra)	09:41:00	10:01:00	0-25%	10	Approximative (+5°C)	3 - Petite brise	418618,76	6416165,58	2154	Luscinia megarhynchos	présent	4013	1	1	individus
E4185N64160	1	Pe2	2019-04-13	Frédéric REVERS (université de bordeaux umr biogeco/inra)	09:09:00	09:29:00	0-25%	5	Approximative (+5°C)	1 - Très légère brise	418757,76	6416387,91	2154	Troglodytes troglodytes	présent	3967	2		individus
E4240N64185	1	Pe2	2018-04-10	Frédéric REVERS (université de bordeaux umr biogeco/inra)	11:08:00	11:28:00	25-50%	10	Approximative (+5°C)	2 - Légère brise	424342	6418608	2154	Fringilla coelebs | Pinson des arbres	présent	4564	1		individus
E4255N64340	2	Pe1	2018-05-04	Frédéric REVERS (université de bordeaux umr biogeco/inra)	10:06:00	10:26:00	0-25%	10	Approximative (+5°C)	1 - Très légère brise	425734	6434356	2154	Corvus corone | Corneille noire	présent	4503	1		individus
E4135N64135	2	Pe2	2018-05-24	Frédéric REVERS (université de bordeaux umr biogeco/inra)	08:18:00	08:38:00	50-75%	15	Approximative (+5°C)	0 - Calme	413828	6413559	2154	Certhia brachydactyla | Grimpereau des jardins	présent	3791	1		individus
E4120N64290	1	Pe1	2019-04-11	Frédéric REVERS (université de bordeaux umr biogeco/inra)	10:02:00	10:22:00	75-100%	10	Approximative (+5°C)	2 - Légère brise	412190,91	6429120,58	2154	Phalacrocorax carbo	présent	2440	1	1	individus
