Nom latin,Code,Nom vernaculaire,Niveau de spécialisation,Régime alimentaire,Technique d'alimentation,Nidification,Période de migration,Statut IUCN (France/monde),Statut de protection
Acrocephalus schoenobaenus,ACRSCH,Phragmite des joncs,Agricole,Carnivore,Glanage sous-bois,Buisson,Migrateur précoce,LC/LC,Oui
Acrocephalus scirpaceus,ACRSCI,Rousserolle effarvatte,Zone humide,Carnivore,Glanage sous-bois,Buisson,Migrateur précoce,LC/LC,Oui
Actitis hypoleucos,ACTHYP,Chevalier guignette,Zone humide,Carnivore,Sondage sol,Au sol,Sédentaire,NT/LC,Oui
Aegithalos caudatus,AEGCAU,Mésange à longue queue,Forêt,Mixte,Glanage sous-bois,Buisson,Sédentaire,LC/LC,Oui
Alcedo atthis,ALCATT,Martin-pêcheur d'Europe,Zone humide,Carnivore,Pêche,Cavité,Sédentaire,VU/LC,Oui
Anas platyrhynchos,ANAPLA,Canard colvert,Zone humide,Mixte,Pêche,Au sol,Sédentaire,LC/LC,Non
Anthus trivialis,ANTTRI,Pipit des arbres,Forêt,Carnivore,Glanage sol,Au sol,Migrateur précoce,LC/LC,Oui
Ardea alba,ARDALB,Grande Aigrette,Zone humide,Carnivore,Pêche,Buisson,Sédentaire,NT/LC,Oui
Ardea cinerea,ARDCIN,Héron cendré,Zone humide,Carnivore,Pêche,Arbre,Sédentaire,LC/LC,Oui
Bubulcus ibis,BUBIBI,Héron garde-boeufs,Zone humide,Carnivore,Glanage sol,Buisson,Sédentaire,LC/LC,Oui
Buteo buteo,BUTBUT,Buse variable,Agricole,Carnivore,Capture au sol,Arbre,Sédentaire,LC/LC,Oui
Carduelis carduelis,CARCAR,Chardonneret élégant,Bâti,Végétarien,Glanage sous-bois,Arbre,Sédentaire,VU/LC,Oui
Certhia brachydactyla,CERBRA,Grimpereau des jardins,Forêt,Carnivore,Ecorce,Cavité,Sédentaire,LC/LC,Oui
Cettia cetti,CETCET,Bouscarle de Cetti,Zone humide,Carnivore,Glanage sous-bois,Buisson,Sédentaire,NT/LC,Oui
Chloris chloris,CHLCHL,Verdier d'Europe,Bâti,Végétarien,Glanage sous-bois,Buisson,Sédentaire,VU/LC,Oui
Ciconia ciconia,CICCIC,Cigogne blanche,Zone humide,Carnivore,Glanage sol,Arbre,Migrateur précoce,LC/LC,Oui
Circus pygargus,CIRPYG,Busard cendré,Agricole,Carnivore,Capture au sol,Au sol,Migrateur précoce,NT/LC,Oui
Cisticola juncidis,CISJUN,Cisticole des joncs,Agricole,Mixte,Glanage sol,Au sol,Sédentaire,VU/LC,Oui
Columba livia f. domestica,COLLIV,Pigeon biset domestique,Bâti,Végétarien,Glanage sol,Cavité,Sédentaire,LC/LC,Non
Columba palumbus,COLPAL,Pigeon ramier,Généraliste,Végétarien,Glanage sol,Arbre,Sédentaire,LC/LC,Non
Corvus corone,CORCOR,Corneille noire,Généraliste,Mixte,Sondage sol,Arbre,Sédentaire,LC/LC,Non
Cuculus canorus,CUCCAN,Coucou gris,Généraliste,Carnivore,Glanage canopée,Arbre,Migrateur précoce,LC/LC,Oui
Cyanistes caeruleus,CYACAE,Mésange bleue,Généraliste,Mixte,Glanage canopée,Cavité,Sédentaire,LC/LC,Oui
Cygnus olor,CYGOLO,Cygne tuberculé,Zone humide,Mixte,Pêche,Au sol,Sédentaire,LC/LC,Oui
Dendrocopos major,DENMAJ,Pic épeiche,Forêt,Mixte,Ecorce,Cavité,Sédentaire,LC/LC,Oui
Dendrocopos minor,DENMIN,Pic épeichette,Forêt,Carnivore,Ecorce,Cavité,Sédentaire,VU/LC,Oui
Egretta garzetta,EGRGAR,Aigrette garzette,Zone humide,Carnivore,Pêche,Arbre,Sédentaire,LC/LC,Oui
Emberiza cirlus,EMBCIR,Bruant zizi,Agricole,Mixte,Glanage sol,Au sol,Sédentaire,LC/LC,Oui
Emberiza schoeniclus,EMBSCH,Bruant des roseaux,Zone humide,Mixte,Glanage sous-bois,Au sol,Sédentaire,EN/LC,Oui
Erithacus rubecula,ERIRUB,Rougegorge familier,Forêt,Carnivore,Glanage sous-bois,Cavité,Sédentaire,LC/LC,Oui
Falco tinnunculus,FALTIN,Faucon crécerelle,Agricole,Carnivore,Capture au sol,Cavité,Sédentaire,LC/LC,Oui
Ficedula hypoleuca,FICHYP,Gobemouche noir,Forêt,Mixte,En vol,Cavité,Migrateur tardif,VU/LC,Oui
